Question	Answer
痛风挂什么科？	痛风是代谢性疾病，《痛风诊疗指南》在中华医学会、内分泌分会发布，近十几年痛风放到风湿免疫科了，例如制定痛风指南的专家组李长贵、伍沪生、周京国大部分是风湿免疫科。《实用内科学》也改在风湿免疫科章节。所以：挂风湿免疫科、肾内科、内分泌科都可以。
服用非布司他应该做哪些体检？	服药前：做肝肾功能血糖血脂（大约 200）、胱抑素 c（大约 50）、同型半胱氨酸（大约 60）、全腹彩超（大约 250）或 b 超（大约 200）（做过可不做）、尿常规（大约 30，尿液留取中间段）、血压（免费）、心电图（大约 20）（费用大约 600 左右，各地有差异）服药后：2-4 周后复查肝肾功能血糖血脂，之后如果指标稳定了可以 2-3 个月复查，如果有指标有明显异常就一个月后复查，比如血脂，肝功能异常等。从此终身复查不推荐超过 6 个月，笔者见过风友前几年体检没问题就松懈了，结果一年没有体检血糖项目出现糖尿病酮症酸中毒，还是吃降酸药好好的，但是他自身原因，不是非布司他副作用。一直肝肾功能正常，不代表下次正常，有些一年都是肝功没问题，还是会一年后肝功能异常，所以定期体检必须做。以上是比较全的体检，推荐高尿酸 480 以上时间比较长大约两年以上的都要做，为什么呢，同型半胱氨酸高了脑梗风险增加，做全腹彩超是脂肪肝 95%痛风患者都会有，而且 PH 低容易尿酸性肾结石。痛风患者脂代谢异常也常见，一般需要和医生商量开这些项目，下面把项目写一下。肝肾功能血糖血脂，胱抑素 c，同型半胱氨酸，尿常规，血压，全腹彩超，心电图。小部分尿酸不高、轻症想做最少项目的最低限度做肝肾功能有些风友问能不能做少点省钱，这样的话做肝功八项，（下次做肝功十六项穿插）肾功四项（要包含尿酸），葡萄糖，血脂四项，同型半胱氨酸，尿常规，血压，这些大约 200 元左右，以后的定期复查主要肝肾功能其他酌情选择做，原因是非不司他 6-10%肝功能异常。
服用苯溴马隆,别嘌醇应该做哪些体检？	三大降酸药常见的都是肝脏代谢异常，大致体检项目同上。另外，服用苯溴马隆容易尿酸性肾结石，第一次服用一两个月后体检项目加做泌尿彩超看看是否有导致尿酸性肾结石即可；别嘌醇则是加做一个血常规，另外，别嘌醇切记要做一个 HLA-B*5801 基因检测报告，若报告为阳性，你要果断放弃服用，因为亚裔人种普遍携带 HLA-B*5801 基因。该基金携带者服用别嘌醇有较高概率发生史蒂芬强森症候群或中毒性表皮坏死松懈症。
无症状高尿酸未服药应该做哪些体检？	未服药则不需要体检检测药物副作用了，主要是检查肾功能(高尿酸可导致痛风肾)，还有可做关节超声，双源 CT 看看关节是否有结晶,泌尿彩超看看是否有肾结石。下图为双源 CT(大约 400-700 元左右)，是检查无症状高尿酸关节是否存在结晶。关节超声比较便宜，大约 110元，但准确度不及双源 CT.感谢大家阅读，我是房寻仙，痛风快好的一位风友，以下资料会持续更新，所有内容，经过风友实践和大量文献资料总结而来，供参考。科普不代表治病，不代替治疗，仅供学习参考，身体不适请到三甲医院面诊，请遵三甲医院医嘱！感谢为痛风治疗指南付出的所有医务人员~以及科普人！感谢痛风快好 APP 交流群内大量的风友！本篇是《痛风大全》1，体检篇以下文章持续更新……感谢关注，也感谢传播科普！《痛风大全》2，发作与溶晶痛篇-已更新《痛风大全》3，防治篇《痛风大全》4，生活干预与饮食起居篇《痛风大全》5，碱化尿液与肾结石篇-已更新《痛风大全》6，降酸药篇-已更新《痛风大全》7，脂肪肝篇《痛风大全》8，中医中药篇《痛风大全》9，报告解读篇参考文献：《2019 中国高尿酸血症与痛风诊疗指南》《2021 痛风基层合理用药指南》《实用痛风病学》为方便查阅，《痛风大全》完整版发布于痛风快好 app、痛风快好微信小程序（痛风专栏）声明：著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。感谢阅读，我是房寻仙。
什么是“溶晶痛”？	溶晶痛就是因为降酸药物使血液中尿酸浓度剧烈下降，结晶溶解或者脱落，免疫系统白细胞吞噬结晶造成的炎症反应。所以，不一定就是要 360 以下尿酸才是“溶晶痛”，比如原来 700 降到 600 痛了也属于“溶晶痛”，“溶晶痛”是民间老百姓的说法，正式词是是“转移痛风，二次痛风”
“溶晶痛”有什么特点？	溶晶痛有以下特点：一是发生在吃药以后，游走痛，在没有吃药之前很正常，吃药以后就发作了。二是发作的力度明显比正常痛风小，有时候是丝丝拉拉的痛，或者这次脚踝发作，下次转移到手关节痛风，不过因人而异，有些人会强一些，有些人会轻一些。三是痛的地方有时候会不典型，比如屁股等，好像什么关节都有可能痛，平时没有吃降酸药之前痛风发作一般会非常典型，比如手指，脚趾脚踝，膝盖等。
如何预防溶晶痛？	1. 降尿酸药物要从小剂量开始使用降尿酸药物要从小剂量开始使用，使血尿酸平稳下降，而非骤降：这样可以最大程度避免“溶晶痛”的发生。以非布司他为例，可以从10mg/日、20mg/日的剂量开始服用，？耐受后再逐步两周左右加量，直至尿酸达标。2. 提前干预，预防用药降尿酸药物使用早期，可以配合使用小剂量秋水仙碱（0.5mg-1mg/日），这样可以帮助机体安稳度过“溶晶痛”的敏感时期。最大程度的避免“溶晶痛”的发生。预防用药一般 3-6 个月，全球各国指南都推荐使用 3-6 月小剂量秋水仙碱副作用忽略不计。如果完全没有“溶晶痛”可能，可以不搭配。
“溶晶痛”怎么处理？	和痛风发作一样处理5、溶晶的身体反应a、腰部会有酸胀感，如果肾脏的尿酸盐结晶被溶解，腰部会有酸胀感，有时候偶尔刺痛、难受。b、尿液变化，如果泌尿系统的尿酸盐结晶被溶解，会出现尿频尿急，尿液中有悬浮物，针样结晶体。c、口腔变化 如果淋巴系统的尿酸盐结晶被溶解，您会出现口干，口咸，喉咙肿痛，口腔溃疡，您可以吃一些华素片或者西瓜霜喷剂。d、眼睛变化，如果眼睛分泌物增多，甚至有白色粉末状物，也是尿酸盐结晶的排泄。 由于体内三分之二的尿酸盐是通过尿液排泄的，前期的结晶溶解会有一个共同的特点，比如：尿液发黄，尿液有泡沫、尿液泡沫增加，尿液有异味。e，没痛过的地方也会痛，或者丝丝拉拉的痛f，大部分早干预，溶晶没感觉。
“溶晶痛”会持续多久？	这个因人而异，一般是痛风未治疗多年和有多处痛风石时间比较长，有些需要半年，总之坚持降尿酸，发作次数会越来越少。
我尿酸长期 360 以下了，没有“溶晶痛”，有在溶晶吗？	有的，不一定溶晶期一定会“溶晶痛”，痛风发作需要两个条件，①结晶析出或掉落，②免疫系统白细胞吞噬结晶，只有前者就不一定发作。
